日付,晴,曇,雨,雪
06.24,23.3,33.3,43.3,0.0
06.25,20.0,36.7,43.3,0.0
06.26,23.3,36.7,40.0,0.0
06.27,30.0,36.7,33.3,0.0
06.28,16.7,43.3,40.0,0.0
06.29,30.0,33.3,36.7,0.0
06.30,16.7,26.7,56.7,0.0
07.01,20.0,26.7,53.3,0.0
07.02,30.0,40.0,30.0,0.0
07.03,33.3,20.0,46.7,0.0
07.04,20.0,23.3,56.7,0.0
07.05,23.3,26.7,50.0,0.0
07.06,36.7,26.7,36.7,0.0
07.07,23.3,40.0,36.7,0.0
07.08,33.3,36.7,30.0,0.0
07.09,26.7,30.0,43.3,0.0
07.10,40.0,23.3,36.7,0.0
07.11,40.0,26.7,33.3,0.0
07.12,30.0,30.0,40.0,0.0
07.13,23.3,46.7,30.0,0.0
07.14,33.3,30.0,36.7,0.0
07.15,43.3,26.7,30.0,0.0
07.16,33.3,46.7,20.0,0.0
07.17,26.7,36.7,36.7,0.0
07.18,33.3,30.0,36.7,0.0
07.19,40.0,33.3,26.7,0.0
07.20,43.3,30.0,26.7,0.0
07.21,36.7,26.7,36.7,0.0
07.22,36.7,43.3,20.0,0.0
07.23,36.7,33.3,30.0,0.0
07.24,40.0,23.3,36.7,0.0
07.25,36.7,33.3,30.0,0.0
07.26,40.0,26.7,33.3,0.0
07.27,36.7,43.3,20.0,0.0
07.28,53.3,26.7,20.0,0.0
07.29,36.7,30.0,33.3,0.0
07.30,43.3,26.7,30.0,0.0
07.31,53.3,26.7,20.0,0.0
08.01,53.3,26.7,20.0,0.0
08.02,50.0,33.3,16.7,0.0
08.03,70.0,20.0,10.0,0.0
08.04,43.3,36.7,20.0,0.0
08.05,46.7,23.3,30.0,0.0
08.06,56.7,23.3,20.0,0.0
08.07,60.0,13.3,26.7,0.0
08.08,53.3,36.7,10.0,0.0
08.09,53.3,30.0,16.7,0.0
08.10,46.7,20.0,33.3,0.0
08.11,53.3,33.3,13.3,0.0
08.12,33.3,30.0,36.7,0.0
08.13,40.0,26.7,33.3,0.0
08.14,53.3,16.7,30.0,0.0
08.15,50.0,30.0,20.0,0.0
08.16,50.0,16.7,33.3,0.0
08.17,46.7,30.0,23.3,0.0
08.18,36.7,43.3,20.0,0.0
08.19,60.0,20.0,20.0,0.0
08.20,46.7,36.7,16.7,0.0
08.21,40.0,33.3,26.7,0.0
08.22,53.3,23.3,23.3,0.0
08.23,40.0,26.7,33.3,0.0
08.24,46.7,20.0,33.3,0.0
08.25,46.7,33.3,20.0,0.0
08.26,46.7,26.7,26.7,0.0
08.27,46.7,20.0,33.3,0.0
08.28,46.7,20.0,33.3,0.0
08.29,53.3,20.0,26.7,0.0
08.30,23.3,40.0,36.7,0.0
08.31,33.3,23.3,43.3,0.0
09.01,46.7,23.3,30.0,0.0
09.02,40.0,26.7,33.3,0.0
09.03,50.0,20.0,30.0,0.0
09.04,36.7,20.0,43.3,0.0
09.05,56.7,13.3,30.0,0.0
09.06,26.7,36.7,36.7,0.0
09.07,30.0,26.7,43.3,0.0
09.08,46.7,16.7,36.7,0.0
09.09,53.3,10.0,36.7,0.0
09.10,56.7,13.3,30.0,0.0
09.11,46.7,10.0,43.3,0.0
09.12,56.7,20.0,23.3,0.0
09.13,50.0,16.7,33.3,0.0
09.14,33.3,43.3,23.3,0.0
09.15,36.7,23.3,40.0,0.0
09.16,23.3,16.7,60.0,0.0
09.17,33.3,30.0,33.3,0.0
09.18,43.3,16.7,40.0,0.0
09.19,50.0,30.0,20.0,0.0
09.20,46.7,23.3,30.0,0.0
09.21,43.3,16.7,40.0,0.0
09.22,30.0,20.0,50.0,0.0
09.23,33.3,30.0,36.7,0.0
09.24,20.0,20.0,60.0,0.0
09.25,30.0,20.0,50.0,0.0
09.26,33.3,30.0,36.7,0.0
09.27,33.3,33.3,33.3,0.0
09.28,56.7,26.7,16.7,0.0
09.29,40.0,33.3,26.7,0.0
09.30,36.7,10.0,53.3,0.0
10.01,30.0,6.7,63.3,0.0
10.02,53.3,16.7,30.0,0.0
10.03,40.0,33.3,26.7,0.0
10.04,36.7,33.3,30.0,0.0
10.05,16.7,40.0,43.3,0.0
10.06,36.7,16.7,46.7,0.0
10.07,33.3,23.3,43.3,0.0
10.08,23.3,26.7,50.0,0.0
10.09,50.0,6.7,43.3,0.0
10.10,60.0,16.7,23.3,0.0
10.11,43.3,30.0,26.7,0.0
10.12,50.0,26.7,23.3,0.0
10.13,46.7,23.3,30.0,0.0
10.14,40.0,10.0,50.0,0.0
10.15,40.0,20.0,40.0,0.0
10.16,36.7,33.3,30.0,0.0
10.17,33.3,26.7,40.0,0.0
10.18,53.3,20.0,26.7,0.0
10.19,40.0,20.0,40.0,0.0
10.20,43.3,23.3,33.3,0.0
10.21,50.0,13.3,36.7,0.0
10.22,40.0,30.0,30.0,0.0
10.23,46.7,16.7,36.7,0.0
10.24,56.7,13.3,30.0,0.0
10.25,46.7,13.3,40.0,0.0
10.26,53.3,20.0,26.7,0.0
10.27,56.7,20.0,23.3,0.0
10.28,60.0,6.7,33.3,0.0
10.29,50.0,16.7,33.3,0.0
10.30,66.7,20.0,13.3,0.0
10.31,50.0,40.0,10.0,0.0
11.01,63.3,3.3,33.3,0.0
11.02,56.7,23.3,20.0,0.0
11.03,56.7,23.3,20.0,0.0
11.04,70.0,20.0,10.0,0.0
11.05,66.7,13.3,20.0,0.0
11.06,46.7,20.0,33.3,0.0
11.07,66.7,16.7,16.7,0.0
11.08,53.3,16.7,30.0,0.0
11.09,56.7,10.0,33.3,0.0
11.10,56.7,20.0,23.3,0.0
11.11,46.7,16.7,36.7,0.0
11.12,50.0,13.3,36.7,0.0
11.13,66.7,16.7,16.7,0.0
11.14,60.0,13.3,26.7,0.0
11.15,46.7,23.3,30.0,0.0
11.16,73.3,13.3,13.3,0.0
11.17,66.7,13.3,20.0,0.0
11.18,70.0,16.7,13.3,0.0
11.19,56.7,10.0,33.3,0.0
11.20,50.0,13.3,36.7,0.0
11.21,66.7,3.3,30.0,0.0
11.22,53.3,23.3,23.3,0.0
11.23,70.0,10.0,20.0,0.0
11.24,56.7,20.0,20.0,3.3
11.25,66.7,0.0,33.3,0.0
11.26,70.0,3.3,26.7,0.0
11.27,60.0,20.0,20.0,0.0
11.28,53.3,26.7,20.0,0.0
11.29,70.0,10.0,20.0,0.0
11.30,63.3,20.0,16.7,0.0
12.01,56.7,13.3,30.0,0.0
12.02,63.3,6.7,30.0,0.0
12.03,66.7,10.0,20.0,3.3
12.04,66.7,6.7,26.7,0.0
12.05,60.0,16.7,23.3,0.0
12.06,73.3,13.3,13.3,0.0
12.07,73.3,13.3,13.3,0.0
12.08,66.7,10.0,23.3,0.0
12.09,63.3,20.0,13.3,3.3
12.10,80.0,0.0,20.0,0.0
12.11,63.3,6.7,26.7,3.3
12.12,66.7,10.0,20.0,3.3
12.13,63.3,13.3,23.3,0.0
12.14,60.0,16.7,20.0,3.3
12.15,83.3,10.0,6.7,0.0
12.16,83.3,10.0,3.3,3.3
12.17,63.3,10.0,26.7,0.0
12.18,76.7,6.7,16.7,0.0
12.19,76.7,16.7,3.3,3.3
12.20,80.0,10.0,6.7,3.3
12.21,80.0,10.0,6.7,3.3
12.22,70.0,3.3,23.3,3.3
12.23,73.3,6.7,13.3,6.7
12.24,93.3,3.3,3.3,0.0
12.25,83.3,10.0,6.7,0.0
12.26,73.3,10.0,13.3,3.3
12.27,80.0,0.0,13.3,6.7
12.28,86.7,0.0,13.3,0.0
12.29,86.7,0.0,10.0,3.3
12.30,80.0,6.7,10.0,3.3
12.31,86.7,6.7,0.0,6.7

